time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-08 00:00:00+00:00,14,6,60,19
2025-11-09 00:00:00+00:00,5,3,21,11
2025-11-10 00:00:00+00:00,7,4,22,5
2025-11-11 00:00:00+00:00,18,10,23,11
2025-11-12 00:00:00+00:00,8,3,2,1
2025-11-13 00:00:00+00:00,8,6,20,2
2025-11-14 00:00:00+00:00,22,12,18,3
2025-11-15 00:00:00+00:00,3,3,6,6
2025-11-16 00:00:00+00:00,3,3,5,1
2025-11-17 00:00:00+00:00,3,3,7,1
2025-11-18 00:00:00+00:00,66,14,8,4
2025-11-19 00:00:00+00:00,2,2,15,4
2025-11-20 00:00:00+00:00,42,12,146,17
2025-11-21 00:00:00+00:00,43,13,192,42
2025-11-22 00:00:00+00:00,37,13,184,13
