time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-14 00:00:00+00:00,25,19,75,4
2025-10-15 00:00:00+00:00,21,20,124,3
2025-10-16 00:00:00+00:00,4,4,16,3
2025-10-17 00:00:00+00:00,2,2,1,1
2025-10-18 00:00:00+00:00,2,2,11,2
2025-10-19 00:00:00+00:00,2,2,1,1
2025-10-20 00:00:00+00:00,1,1,5,1
2025-10-21 00:00:00+00:00,1,1,0,0
2025-10-22 00:00:00+00:00,3,3,25,1
2025-10-23 00:00:00+00:00,2,2,0,0
2025-10-24 00:00:00+00:00,3,3,0,0
2025-10-25 00:00:00+00:00,1,1,1,1
2025-10-26 00:00:00+00:00,4,4,0,0
2025-10-27 00:00:00+00:00,2,2,0,0
2025-10-28 00:00:00+00:00,2,2,5,1
2025-10-29 00:00:00+00:00,2,2,0,0
2025-10-30 00:00:00+00:00,9,9,46,9
2025-10-31 00:00:00+00:00,11,11,10,3
2025-11-01 00:00:00+00:00,2,2,5,5
2025-11-02 00:00:00+00:00,56,4,33,2
2025-11-03 00:00:00+00:00,8,8,5,1
2025-11-04 00:00:00+00:00,5,4,0,0
2025-11-05 00:00:00+00:00,1,1,7,2
2025-11-06 00:00:00+00:00,14,7,2,2
2025-11-07 00:00:00+00:00,4,3,15,3
2025-11-08 00:00:00+00:00,15,7,60,19
2025-11-09 00:00:00+00:00,5,3,21,11
2025-11-10 00:00:00+00:00,7,4,22,5
2025-11-11 00:00:00+00:00,18,10,23,11
2025-11-12 00:00:00+00:00,8,3,2,1
2025-11-13 00:00:00+00:00,8,6,20,2
2025-11-14 00:00:00+00:00,22,12,18,3
2025-11-15 00:00:00+00:00,3,3,6,6
2025-11-16 00:00:00+00:00,3,3,5,1
